const,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,66.531399868941,84.7650388403018,57.5,2.35,0.394,2.16,63.503,12.7943441218335,80.4000006804435,0.4,99.0,99.0,5.4,16.5,4.3
1.0,20220.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,90.9892074094146,98.9,2.59,0.394,2.16,27.316,17.4113260046723,69.648005383792,1.6,99.0,98.0,2.5,11.1,4.3
1.0,640.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,11.5843357881251,16.1744725542393,22.1,2.35,0.187,1.191,48.055,56.1827809538902,34.1320653169829,0.7,55.0,65.0,37.0,12.2,4.3
1.0,31640.0,20.200000000000003,40.1,3033.32104492,95.12889642097434,94.83025645727861,4.056111670985595,98.2743209096652,98.3111577508786,100.0,2.35,0.394,2.16,56.438,2.65495639467145,89.9880996804389,0.1,95.0,90.0,2.5,20.1,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,81.94279215408704,83.2662883435582,100.0,2.35,0.394,2.16,100.0,12.3367929690456,77.859990559681,0.4,90.0,91.0,5.4,19.55,4.3
1.0,52940.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,99.4711560405675,99.9245193973947,100.0,3.06,3.713,5.864,92.946,10.3180117827835,85.4465034349679,0.4,98.0,98.0,2.5,20.4,4.3
1.0,15320.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,76.2331071384836,89.4185264529743,100.0,7.03,0.394,2.16,75.548,3.9034529707424,89.3053298873847,0.4,97.0,97.0,2.5,29.2,4.3
1.0,5000.0,20.200000000000003,40.1,3228.43505859,84.120002746582,88.4700012207031,4.056111670985595,81.94279215408704,83.0453032676674,98.6,2.35,0.394,1.587,68.412,15.8291786031253,70.1204552332968,0.9,95.0,93.0,12.6,11.0,4.3
1.0,98280.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,98.8231103374865,98.0490118575755,100.0,2.35,0.394,2.16,84.318,7.67957977902199,86.7221299287588,0.1,96.0,97.0,2.5,14.2,4.3
1.0,7310.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,8.70710061176711,83.5463346619255,100.0,2.35,0.394,2.16,66.928,12.3367929690456,77.859990559681,0.4,97.0,94.0,5.4,33.7,4.3
1.0,8690.0,20.200000000000003,40.1,3228.43505859,95.12889642097434,94.83025645727861,4.056111670985595,70.7360679461577,99.2992661348186,100.0,2.35,0.394,2.16,65.38,3.0231082827299,93.9408931427863,0.1,81.0,97.0,4.5,21.9,4.3
1.0,7310.0,20.200000000000003,40.1,3269.70385742,95.12889642097434,94.83025645727861,4.056111670985595,99.2801236024823,99.8167822550343,100.0,12.75,0.394,2.16,81.498,12.8287871492843,77.9104186148433,0.4,97.0,97.0,2.5,20.0,4.3
1.0,73790.0,20.200000000000003,40.1,6432.37158203,95.12889642097434,94.83025645727861,4.056111670985595,99.9188291924832,99.5972292400995,100.0,2.51,0.394,2.16,88.626,6.82614009736737,89.6578412938322,0.1,94.0,96.0,2.5,16.2,4.3
