country,iso3_code,region,income_level,latitude,longitude,crude_death_rate,total_population,population_65_plus_pct,gni_per_capita,poverty_headcount,gini_index,health_expenditure_pc,female_literacy,adult_literacy,education_expenditure_gdp,safe_water,basic_sanitation,electricity_access,hospital_beds,physicians_density,nurses_midwives_density,urban_population,communicable_disease_deaths,ncd_mortality_pct,hiv_prevalence,measles_immunisation,dpt_immunisation,undernourishment,smoking_prevalence,overweight_prevalence
Liberia,LBR,SSF,LIC,6.5,-9.5,8.071,5612817.0,3.30499818540316,760.0,,,,,,,,22.5233824972505,32.5,1.59,0.18,0.794,54.077,58.4314977293647,31.6550622520222,0.9,82.0,83.0,38.4,8.2,
Libya,LBY,MEA,UMC,25.0,17.0,6.654,7381023.0,5.01919584859714,6310.0,,,,,,,,92.1060022089555,73.2,3.2,,,81.907,10.3928533300441,75.050321329237,0.1,89.0,86.0,11.4,,
St. Lucia,LCA,LCN,UMC,,,8.614,179744.0,9.61675943775436,12800.0,,,,,,3.84700018653403,,83.3579887895079,100.0,1.96,,,19.306,7.9406531999336,82.096785253246,0.4,83.0,99.0,,13.8,
Liechtenstein,LIE,ECS,HIC,,,6.8,40197.0,20.7261098570354,,,,,,,,100.0,99.95,100.0,,,,14.707,,,,,,,,
Sri Lanka,LKA,SAS,LMC,7.0,81.0,8.2,21916000.0,12.1039396323455,3860.0,,,,,,,47.1275328737655,95.0863607756551,100.0,,,,19.416,9.47024212360678,82.5187048538365,0.1,99.0,97.0,4.1,19.5,0.5
Lesotho,LSO,SSF,LMC,-29.5,28.5,10.648,2337423.0,3.8564059343144,1170.0,,,,96.629997253418,90.4499969482422,6.62253066096596,28.2174874193037,50.2791929850309,57.3,,0.151,,30.897,42.1882542295161,45.0802861409139,17.1,90.0,86.0,,24.3,7.7
Lithuania,LTU,ECS,HIC,56.0,24.0,12.9,2888055.0,20.1664889015269,26950.0,,,1988.94665527,,,,94.9814964714414,95.3067363442577,100.0,,5.127,9.467,68.936,3.41432799404597,91.1542757580292,0.2,86.0,89.0,2.5,31.4,
Luxembourg,LUX,ECS,HIC,49.75,6.17,6.6,677717.0,15.4763638200631,91470.0,,,7504.58496094,,,,99.5340819574653,97.585929408821,100.0,4.15,,,92.266,5.3566112640065,88.5966262598026,0.3,99.0,99.0,2.5,23.0,
Latvia,LVA,ECS,HIC,57.0,25.0,14.9,1862441.0,21.7358403074143,21930.0,,,,,,,97.1112722593105,,100.0,,,,68.815,3.04076502411086,91.9936098302222,0.5,98.0,97.0,2.5,33.9,
"Macao SAR, China",MAC,EAS,HIC,,,4.4,687000.0,14.2684189919779,,,,,,,,100.0,100.0,100.0,,,,100.0,,,,,,10.7,,
St. Martin (French part),MAF,LCN,HIC,,,9.282,26129.0,18.4067511194458,,,,,,,,96.6287648090298,100.0,100.0,,,,,,,,,,,,
Morocco,MAR,MEA,LMC,32.0,-5.0,5.638,38081173.0,8.13865292437289,3760.0,,,,,,,74.8241993528604,87.5163486641307,100.0,,,,65.643,8.9061293772705,84.1902894663775,0.1,98.0,96.0,6.9,13.0,
Monaco,MCO,ECS,HIC,,,20.971,38631.0,36.1665501799073,,,,,,,,100.0,100.0,100.0,,,,100.0,,,,88.0,99.0,,,
Moldova,MDA,ECS,UMC,47.0,29.0,13.606,2389275.0,16.2115124727323,6940.0,,,,,,,75.2243421159045,84.9109519217603,100.0,5.66,,,43.599,4.47050314530646,89.484237974785,0.9,84.0,86.0,2.5,29.7,
